ID,Player,Years,From,To,Team,GP,MIN,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,TOV,PF,ORB,DRB,REB,AST,STL,BLK,PTS,2P%,eFG%,Draft
17216,Daniel Hamilton,2.0,2015.0,2016.0,UConn,71,31.732,4.197,10.944,38.34978070175438,1.31,3.887,33.702083869307955,2.0,2.592,77.16049382716051,2.338,2.141,0.986,7.296,8.282,4.197,1.0,0.39399999999999996,11.704,40.90973501487885,44.33479532163743,56
10831,Domantas Sabonis,2.0,2015.0,2016.0,GU,74,26.635,5.189,8.216000000000001,63.15725413826682,0.068,0.18899999999999997,35.97883597883598,3.095,4.243,72.94367193023804,2.0540000000000003,2.9589999999999996,2.595,6.784,9.378,1.311,0.527,0.581,13.540999999999999,63.797184502304745,63.57108081791627,11
6475,Myles Turner,1.0,2015.0,2015.0,UT,34,22.206,3.4410000000000003,7.559,45.52189443048022,0.5,1.824,27.41228070175439,2.765,3.2939999999999996,83.94049787492409,1.382,2.412,1.294,5.235,6.529,0.588,0.294,2.6180000000000003,10.147,51.28160418482999,48.82921021299114,11
1638,Trey Lyles,1.0,2015.0,2015.0,UK,36,23.0,3.25,6.6670000000000025,48.74756262186891,0.111,0.8059999999999999,13.771712158808933,2.083,2.833,73.52629721143664,1.139,1.5830000000000002,1.806,3.417,5.222,1.056,0.528,0.444,8.693999999999999,53.55741341068077,49.58002099895004,12
9584,Jakob Poeltl,2.0,2015.0,2016.0,U of U,70,26.929000000000002,5.086,7.729,65.80411437443395,0.0,0.013999999999999999,0.0,3.1289999999999996,5.157,60.674810936591044,1.8430000000000002,2.3569999999999998,2.7710000000000004,5.186,7.9570000000000025,1.329,0.47100000000000003,1.7,13.3,65.92352559948154,65.80411437443395,9
2556,Patrick McCaw,2.0,2015.0,2016.0,UNLV,65,31.708000000000002,4.2,9.568999999999999,43.891733723482076,1.923,5.246,36.65650019062142,1.8769999999999998,2.492,75.32102728731942,1.923,1.8769999999999998,0.938,3.262,4.2,3.292,1.985,0.354,12.2,52.67175572519084,53.93980562232208,38
16953,Vince Edwards,4.0,2015.0,2018.0,PU,138,28.659000000000002,4.283,9.022,47.47284415872314,1.261,3.2030000000000003,39.36934124258508,2.065,2.5140000000000002,82.14001591089897,1.725,2.0140000000000002,1.92,3.739,5.659,2.906,0.5,0.46399999999999997,11.890999999999998,51.933321876611096,54.461316781201496,52
1947,Jevon Carter,4.0,2015.0,2018.0,WVU,144,29.646,4.0760000000000005,10.007,40.731487958429106,1.6740000000000002,4.708,35.556499575191154,2.3819999999999997,2.986,79.7722705961152,1.8330000000000002,2.4859999999999998,0.91,2.826,3.736,3.8819999999999997,2.292,0.23600000000000002,12.208,45.329307416493684,49.09563305686019,32
16288,Dakari Johnson,1.0,2015.0,2015.0,UK,39,16.282,2.026,4.0,50.64999999999999,0.0,0.0,,2.3080000000000003,3.6919999999999997,62.51354279523292,1.077,1.7690000000000001,1.7180000000000002,2.872,4.59,0.7440000000000001,0.359,0.9229999999999999,6.359,50.64999999999999,50.64999999999999,48
14730,Kevin Hervey,3.0,2015.0,2018.0,UTA,99,27.374000000000002,5.343,12.232000000000001,43.680510137344676,1.758,5.434,32.351858667648145,2.636,3.3939999999999997,77.66647024160281,2.0,1.899,1.869,5.869,7.737,1.7169999999999999,1.04,0.424,15.081,52.73609885260371,50.86657946370178,57
1625,Ben Bentil,2.0,2015.0,2016.0,PROV,69,27.941999999999997,4.652,10.217,45.53195654301654,0.884,2.725,32.440366972477065,3.638,4.783,76.06104955049129,1.551,2.696,2.5069999999999997,3.783,6.29,0.884,0.565,0.696,13.825999999999999,50.29364655632674,49.85807967113634,51
17162,Michael Bradley,1.0,2015.0,2015.0,SU,32,19.625,2.562,4.312,59.415584415584405,0.0,0.0,,1.531,2.031,75.38158542589856,1.3119999999999998,2.656,1.8119999999999998,3.562,5.375,0.43799999999999994,0.375,0.75,6.6560000000000015,59.415584415584405,59.415584415584405,17
9446,Tyler Ulis,2.0,2015.0,2016.0,UK,72,30.139,3.597,8.431000000000001,42.66397817577987,1.222,3.292,37.120291616038884,2.903,3.431,84.61090061206644,1.486,1.6669999999999998,0.486,1.903,2.3890000000000002,5.292000000000002,1.222,0.083,11.319,46.21521696828177,49.91104258095126,34
2259,Maurice Jeffers,1.0,2015.0,2015.0,UD,30,23.533,2.833,4.967,57.03644050734851,0.0,0.0,,1.167,1.9669999999999999,59.328927300457536,1.633,2.333,2.1,2.733,4.833,0.9329999999999999,0.33299999999999996,0.9329999999999999,6.8329999999999975,57.03644050734851,57.03644050734851,55
4755,James Johnson,1.0,2015.0,2015.0,LIB,32,17.781,2.469,4.625,53.38378378378378,0.0,0.0,,0.875,1.594,54.89335006273526,2.031,2.781,1.094,1.9380000000000002,3.031,0.281,0.21899999999999997,0.312,5.812,53.38378378378378,53.38378378378378,16
18042,Jordan Bell,3.0,2015.0,2017.0,UO,104,24.904,3.3169999999999997,5.442,60.95185593531789,0.028999999999999998,0.154,18.831168831168828,1.163,1.8559999999999999,62.66163793103448,1.558,2.3169999999999997,2.154,4.76,6.912999999999999,1.49,1.067,2.25,7.827000000000001,62.178517397882004,61.21830209481808,38
